customer_id,transaction_count,promo_usage_count,quantity,avg_order_value,first_purchase_date,last_purchase_date,purchase_recency,customer_tenure,payment_method_count,future_spend,total_spent
21644,1,1,4,58.543,2021-01-01 01:14:00,2021-01-01 01:14:00,364.9484537614236,364.9484537614236,1,0.0,58.543
73192,1,2,2,37.015,2021-01-01 09:21:00,2021-01-01 09:21:00,364.61000413841435,364.61000413841435,1,0.0,74.03
9779,1,0,1,4.094,2021-01-01 16:04:00,2021-01-01 16:04:00,364.3302344187384,364.3302344187384,1,0.0,4.094
98867,1,0,1,14.923,2021-01-02 01:37:00,2021-01-02 01:37:00,363.93238225358795,363.93238225358795,1,0.0,14.923
48935,1,0,2,17.514,2021-01-02 09:29:00,2021-01-02 09:29:00,363.60460163333335,363.60460163333335,1,0.0,35.029
50786,1,0,1,17.883,2021-01-02 10:31:00,2021-01-02 10:31:00,363.5611870034028,363.5611870034028,1,0.0,17.883
91188,1,0,2,21.728,2021-01-02 11:03:00,2021-01-02 11:03:00,363.53932536209487,363.53932536209487,1,11.915,21.728
52252,1,1,3,54.274,2021-01-02 13:39:00,2021-01-02 13:39:00,363.43116726042825,363.43116726042825,1,0.0,54.274
48304,1,0,1,9.243,2021-01-02 16:32:00,2021-01-02 16:32:00,363.3107674061111,363.3107674061111,1,0.0,9.243
1082,1,0,5,76.438,2021-01-02 17:40:00,2021-01-02 17:40:00,363.2636170699074,363.2636170699074,1,0.0,152.875
52964,1,0,1,32.151,2021-01-02 20:46:00,2021-01-02 20:46:00,363.13423918839123,363.13423918839123,1,0.0,32.151
13386,1,0,1,10.162,2021-01-02 21:00:00,2021-01-02 21:00:00,363.12461607324076,363.12461607324076,1,0.0,10.162
3898,1,1,1,26.682,2021-01-02 21:08:00,2021-01-02 21:08:00,363.1189000053704,363.1189000053704,1,0.0,26.682
24764,1,1,1,6.68,2021-01-02 21:54:00,2021-01-02 21:54:00,363.0874598680787,363.0874598680787,1,0.0,6.68
22054,1,0,1,13.748,2021-01-02 22:35:00,2021-01-02 22:35:00,363.05884276355323,363.05884276355323,1,0.0,13.748
60636,1,0,1,15.376,2021-01-02 22:42:00,2021-01-02 22:42:00,363.0535073336227,363.0535073336227,1,0.0,15.376
73595,1,1,1,12.901,2021-01-02 23:50:00,2021-01-02 23:50:00,363.00663084605327,363.00663084605327,1,0.0,12.901
33824,1,0,2,30.456,2021-01-02 23:59:00,2021-01-02 23:59:00,363.0003071975463,363.0003071975463,1,0.0,60.911
76859,1,0,1,11.206,2021-01-03 00:19:00,2021-01-03 00:19:00,362.9865510345023,362.9865510345023,1,0.0,11.206
29256,1,0,1,13.827,2021-01-03 00:54:00,2021-01-03 00:54:00,362.9618163153356,362.9618163153356,1,0.0,13.827
358,1,0,1,8.918,2021-01-03 01:10:00,2021-01-03 01:10:00,362.9508419179861,362.9508419179861,1,0.0,8.918
42025,1,5,6,58.353,2021-01-03 02:17:00,2021-01-03 02:17:00,362.90479050497686,362.90479050497686,1,0.0,291.764
16730,1,1,1,26.867,2021-01-03 02:30:00,2021-01-03 02:30:00,362.89561327141206,362.89561327141206,1,0.0,26.867
59573,1,0,1,9.101,2021-01-03 04:02:00,2021-01-03 04:02:00,362.8315094759491,362.8315094759491,1,0.0,9.101
19948,1,0,1,15.084,2021-01-03 05:18:00,2021-01-03 05:18:00,362.7788801361574,362.7788801361574,1,0.0,15.084
30852,1,1,1,12.984,2021-01-03 07:46:00,2021-01-03 07:46:00,362.67602358422454,362.67602358422454,1,0.0,12.984
76255,1,0,1,22.658,2021-01-03 11:44:00,2021-01-03 11:44:00,362.51091383314815,362.51091383314815,1,0.0,22.658
24166,1,0,1,18.41,2021-01-03 14:55:00,2021-01-03 14:55:00,362.37841016614584,362.37841016614584,1,0.0,18.41
48018,1,0,24,406.436,2021-01-03 15:54:00,2021-01-03 15:54:00,362.3372643070602,362.3372643070602,1,0.0,4064.356
26579,1,0,1,6.389,2021-01-03 18:35:00,2021-01-03 18:35:00,362.2256314700116,362.2256314700116,1,0.0,6.389
767,1,0,3,31.948,2021-01-03 19:32:00,2021-01-03 19:32:00,362.18557837427085,362.18557837427085,1,0.0,31.948
28608,1,0,1,12.582,2021-01-03 21:12:00,2021-01-03 21:12:00,362.11604350179397,362.11604350179397,1,0.0,12.582
61137,1,0,8,130.597,2021-01-03 21:12:00,2021-01-03 21:12:00,362.11602833950235,362.11602833950235,1,0.0,391.791
49517,1,0,2,48.881,2021-01-03 21:22:00,2021-01-03 21:22:00,362.1092575724421,362.1092575724421,1,39.534,48.881
69304,1,1,4,41.993,2021-01-03 22:46:00,2021-01-03 22:46:00,362.05098085840274,362.05098085840274,1,0.0,41.993
99587,1,0,1,9.358,2021-01-04 00:41:00,2021-01-04 00:41:00,361.97123972780093,361.97123972780093,1,0.0,9.358
92191,1,0,6,98.527,2021-01-04 01:06:00,2021-01-04 01:06:00,361.9535047006482,361.9535047006482,1,0.0,295.581
70962,1,0,1,6.873,2021-01-04 02:00:00,2021-01-04 02:00:00,361.9165224140394,361.9165224140394,1,0.0,6.873
24783,1,1,1,20.226,2021-01-04 02:23:00,2021-01-04 02:23:00,361.90014773444443,361.90014773444443,1,0.0,20.226
84841,1,1,1,12.201,2021-01-04 03:37:00,2021-01-04 03:37:00,361.84880473694443,361.84880473694443,1,0.0,12.201
67175,1,0,1,17.036,2021-01-04 05:20:00,2021-01-04 05:20:00,361.7771754862847,361.7771754862847,1,0.0,17.036
4917,1,0,1,13.296,2021-01-04 05:21:00,2021-01-04 05:21:00,361.77669170193286,361.77669170193286,1,0.0,13.296
16137,1,1,1,5.582,2021-01-04 07:50:00,2021-01-04 07:50:00,361.6732074943634,361.6732074943634,1,0.0,5.582
36485,1,1,1,25.618,2021-01-04 11:36:00,2021-01-04 11:36:00,361.51599491130787,361.51599491130787,1,0.0,25.618
44958,1,3,3,33.014,2021-01-04 13:42:00,2021-01-04 13:42:00,361.4289148826736,361.4289148826736,1,0.0,99.042
88787,1,0,1,16.32,2021-01-04 20:45:00,2021-01-04 20:45:00,361.1350084704514,361.1350084704514,1,0.0,16.32
19594,1,1,4,47.071,2021-01-04 22:24:00,2021-01-04 22:24:00,361.06639777314814,361.06639777314814,1,0.0,47.071
22227,1,1,1,6.104,2021-01-04 22:35:00,2021-01-04 22:35:00,361.0587917319213,361.0587917319213,1,0.0,6.104
67610,1,1,1,16.713,2021-01-05 02:25:00,2021-01-05 02:25:00,360.89892855171297,360.89892855171297,1,0.0,16.713
88867,1,1,2,39.935,2021-01-05 02:38:00,2021-01-05 02:38:00,360.88963783,360.88963783,1,0.0,39.935
86862,1,1,1,10.205,2021-01-05 04:59:00,2021-01-05 04:59:00,360.7922945356482,360.7922945356482,1,0.0,10.205
91377,1,0,1,25.44,2021-01-05 09:49:00,2021-01-05 09:49:00,360.5905428143634,360.5905428143634,1,0.0,25.44
55703,1,0,1,8.037,2021-01-05 11:59:00,2021-01-05 11:59:00,360.50068234680555,360.50068234680555,1,0.0,8.037
95616,1,0,2,43.641,2021-01-05 17:34:00,2021-01-05 17:34:00,360.26788339828704,360.26788339828704,1,17.102,43.641
51334,1,1,1,14.878,2021-01-05 19:00:00,2021-01-05 19:00:00,360.207679198669,360.207679198669,1,0.0,14.878
47443,1,0,1,30.503,2021-01-05 19:04:00,2021-01-05 19:04:00,360.2051720326968,360.2051720326968,1,0.0,30.503
87040,1,1,1,20.436,2021-01-05 21:31:00,2021-01-05 21:31:00,360.10284709633106,360.10284709633106,1,0.0,20.436
97462,1,1,1,28.467,2021-01-05 22:07:00,2021-01-05 22:07:00,360.07787764215277,360.07787764215277,1,0.0,28.467
52697,1,0,1,9.969,2021-01-05 22:18:00,2021-01-05 22:18:00,360.07082462546293,360.07082462546293,1,0.0,9.969
23422,1,0,1,6.967,2021-01-06 04:42:00,2021-01-06 04:42:00,359.8036265231366,359.8036265231366,1,0.0,6.967
20875,1,0,1,18.34,2021-01-06 09:40:00,2021-01-06 09:40:00,359.5970603366551,359.5970603366551,1,0.0,18.34
24819,1,0,4,71.601,2021-01-06 11:24:00,2021-01-06 11:24:00,359.52440576927086,359.52440576927086,1,0.0,286.404
17727,1,0,1,5.155,2021-01-06 14:40:00,2021-01-06 14:40:00,359.3887698077778,359.3887698077778,1,0.0,5.155
67613,1,1,1,14.554,2021-01-06 15:28:00,2021-01-06 15:28:00,359.35550781537034,359.35550781537034,1,0.0,14.554
6064,1,1,1,18.031,2021-01-06 16:02:00,2021-01-06 16:02:00,359.33130517710646,359.33130517710646,1,0.0,18.031
66832,1,0,1,11.613,2021-01-07 03:28:00,2021-01-07 03:28:00,358.85493497372687,358.85493497372687,1,0.0,11.613
42860,1,0,1,18.991,2021-01-07 03:55:00,2021-01-07 03:55:00,358.8366457258102,358.8366457258102,1,0.0,18.991
12203,1,1,6,90.625,2021-01-07 06:40:00,2021-01-07 06:40:00,358.721991603669,358.721991603669,1,0.0,90.625
12987,1,1,1,21.631,2021-01-07 06:40:00,2021-01-07 06:40:00,358.72159475047454,358.72159475047454,1,0.0,21.631
50803,1,0,8,145.264,2021-01-07 17:30:00,2021-01-07 17:30:00,358.27053004806714,358.27053004806714,1,0.0,435.793
45014,1,1,1,13.48,2021-01-07 19:58:00,2021-01-07 19:58:00,358.1673767545139,358.1673767545139,1,0.0,13.48
4198,1,0,2,17.812,2021-01-07 21:21:00,2021-01-07 21:21:00,358.1098148845602,358.1098148845602,1,0.0,35.624
74465,1,0,1,18.648,2021-01-07 22:12:00,2021-01-07 22:12:00,358.07489232659725,358.07489232659725,1,0.0,18.648
37952,1,0,1,27.453,2021-01-07 23:19:00,2021-01-07 23:19:00,358.02780272578707,358.02780272578707,1,0.0,27.453
5191,1,0,1,25.892,2021-01-08 06:54:00,2021-01-08 06:54:00,357.7121528365972,357.7121528365972,1,0.0,25.892
67250,1,1,1,28.703,2021-01-08 16:36:00,2021-01-08 16:36:00,357.3081088544676,357.3081088544676,1,0.0,28.703
32828,1,1,1,16.255,2021-01-08 18:56:00,2021-01-08 18:56:00,357.2108361307871,357.2108361307871,1,0.0,16.255
46245,1,0,1,7.953,2021-01-08 19:01:00,2021-01-08 19:01:00,357.20715360828706,357.20715360828706,1,0.0,7.953
38743,1,0,1,14.794,2021-01-08 22:46:00,2021-01-08 22:46:00,357.05126446890046,357.05126446890046,1,0.0,14.794
44193,1,0,3,27.438,2021-01-08 22:54:00,2021-01-08 22:54:00,357.04572890577543,357.04572890577543,1,0.0,27.438
18230,1,1,1,26.409,2021-01-09 00:31:00,2021-01-09 00:31:00,356.9780385676389,356.9780385676389,1,0.0,26.409
